Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX
964,964,0,1,0,1,69,8,8
965,965,0,1,0,1,70,2,2
966,966,0,1,0,1,71,8,8
967,967,0,1,0,1,72,8,8
968,968,0,1,0,1,73,0,0
969,969,0,1,0,1,74,0,0
970,970,0,1,0,1,75,0,0
971,971,0,1,0,1,76,2,2
972,972,0,1,0,1,77,0,0
973,973,0,1,0,1,78,a,a
974,974,0,1,0,1,79,a,a
975,975,0,1,0,1,80,0,0
976,976,0,1,0,1,81,8,8
977,977,0,1,0,1,82,0,0
978,978,0,1,0,1,83,8,8
979,979,0,1,0,1,84,3,3
980,980,0,1,0,1,85,8,8
981,981,0,1,0,1,86,2,2
982,982,0,1,0,1,87,8,8
983,983,0,1,0,1,88,2,2
984,984,0,1,0,1,89,2,2
985,985,0,1,0,1,90,9,9
986,986,0,1,0,1,91,2,2
987,987,0,1,0,1,92,3,3
988,988,0,1,0,1,93,8,8
989,989,0,1,0,1,94,a,a
990,990,0,1,0,1,95,8,8
991,991,0,1,0,1,96,3,3
992,992,0,1,0,1,97,8,8
993,993,0,1,0,1,98,2,2
994,994,0,1,0,1,99,0,0
995,995,0,1,0,1,100,9,9
996,996,0,1,0,1,101,8,8
997,997,0,1,0,1,102,2,2
998,998,0,1,0,1,103,3,3
999,999,0,1,0,1,104,8,8
1000,1000,0,1,0,1,105,8,8
1001,1001,0,1,0,1,106,0,0
1002,1002,0,1,0,1,107,0,0
